group,n,mae_pp,rmse_pp,bias_pp,r2,pearson,pred_mean,official_mean,claim_readiness,paper_use
all,80,13.7856467875,17.730306046944502,-3.5140317875,-0.22984501828340775,0.31496559664177526,0.3873596835,0.422500001375,limitations_ready_residual_structure,Use as the C014 official-height negative-improvement summary.
upstream_y_ge_0_inferred,42,12.65485,15.344532295551302,-2.8943294761904768,0.048177451156885986,0.4714415302047695,0.37462813642857146,0.4035714311904762,limitations_ready_residual_structure,Use as residual-structure diagnostic evidence only.
downstream_y_lt_0_inferred,38,15.035474815789472,20.039437435610388,-4.19896592105263,-0.5663250697292279,0.13120555275642323,0.4014313934210526,0.443421052631579,limitations_ready_residual_structure,Use to identify the downstream half as a priority residual region.
x_west_lt_0,43,13.575775325581395,17.515089135353062,-4.330003930232557,-0.2582589462161613,0.3252230440941241,0.3762348434883721,0.41953488279069767,limitations_ready_residual_structure,Use as residual-structure diagnostic evidence only.
x_east_ge_0,37,14.029551459459459,17.97718618997403,-2.5657398378378384,-0.2009368731294463,0.3028341781662179,0.4002885516216216,0.42594595,limitations_ready_residual_structure,Use as residual-structure diagnostic evidence only.
solid0_low_risk,54,12.12252912962963,15.132639779224524,-5.007845981481482,-0.028112057796984447,0.4034153533654081,0.3691807988888889,0.41925925870370373,limitations_ready_residual_structure,Use as near-wall and solid-corner limitation evidence.
solid1_2_moderate_risk,12,15.681071166666667,19.36284331467707,-12.883289166666666,-0.5573437871860298,0.40226196623621086,0.33533378,0.46416667166666664,limitations_ready_residual_structure,Use as near-wall and solid-corner limitation evidence.
solid3_4_high_risk,14,18.575879714285715,24.32552643033509,10.278615,-0.5800781637542745,0.37738371469440984,0.50207187,0.39928572,limitations_ready_residual_structure,Use as near-wall and solid-corner limitation evidence.
official_low_lt_0p3,17,13.932997058823528,19.659028315024653,12.724187058823528,-11.487921712365317,0.016370621769019923,0.3413595182352941,0.21411764764705882,limitations_ready_residual_structure,Use to explain overprediction in sheltered official low-speed probes.
official_mid_0p3_0p6,52,12.051704980769232,15.058648695260773,-5.123321557692308,-1.6036923358507877,0.19135186195286605,0.38434370942307694,0.435576925,limitations_ready_residual_structure,Use as residual-structure diagnostic evidence only.
official_high_ge_0p6,11,21.75473945454545,24.840058686617912,-21.001909272727268,-13.313736653011746,0.21175203280978447,0.47270818000000003,0.6827272727272727,limitations_ready_residual_structure,Use to explain that high-speed official probes remain under-recovered.
pred_low_lt_0p3,19,12.387359842105264,15.819501650212755,-9.352578263157895,-0.9377687015319303,-0.1240434893083115,0.23752684789473683,0.3310526305263158,limitations_ready_residual_structure,Use as residual-structure diagnostic evidence only.
pred_mid_0p3_0p6,53,13.054310773584906,16.15155333503704,-4.370656886792453,-0.12109321472459733,0.1817058860731972,0.39572739509433963,0.43943396396226414,limitations_ready_residual_structure,Use as residual-structure diagnostic evidence only.
pred_high_ge_0p6,8,21.951679374999998,28.653037366424623,16.027657375,-1.1608726372643687,-0.8774205623549582,0.68777657875,0.527500005,limitations_ready_residual_structure,Use as residual-structure diagnostic evidence only.
