path,asset_kind,size_bytes,sha256,manifest_sha256,sha256_matches_manifest,strict_manifest_match_required
CHANGELOG.md,markdown_report_or_protocol,69482,cd8da7d56af703a451ca91d5ec31056757ba7045d8aa1137692a6136692f16d2,cd8da7d56af703a451ca91d5ec31056757ba7045d8aa1137692a6136692f16d2,True,True
CityLBM/bin/CityLBM.gha,compiled_plugin,1823744,1c3d08567a8d2a6a6c928b1d3183601d6c5444de53d4707910bb47066927d098,1c3d08567a8d2a6a6c928b1d3183601d6c5444de53d4707910bb47066927d098,True,True
README.md,markdown_report_or_protocol,41315,3c3ff92030ad3668a683f1a64c85d5c9a32c1cd15a36aecf9c3ae8acc2086f96,3c3ff92030ad3668a683f1a64c85d5c9a32c1cd15a36aecf9c3ae8acc2086f96,True,True
academic-paper-writer/paper-drafts/casee_v04_manuscript_section_pack_en.md,markdown_report_or_protocol,4944,159097a0725aa5cf2c69563bd41456ba8a30d42285be617a008efbf7258b9a94,159097a0725aa5cf2c69563bd41456ba8a30d42285be617a008efbf7258b9a94,True,False
academic-paper-writer/paper-drafts/casee_v04_reproducibility_appendix_en.md,markdown_report_or_protocol,17913,57fb40e88b82d8488f82174e598ff1070c1cbb69d689793dd0056bd423864d2d,57fb40e88b82d8488f82174e598ff1070c1cbb69d689793dd0056bd423864d2d,True,False
academic-paper-writer/paper-drafts/casee_v04_reproducibility_appendix_zh.md,markdown_report_or_protocol,17442,b6fab53998e13ddf1365ed50d28ab28e504525c25d2f7c26757f21f19af33dd6,b6fab53998e13ddf1365ed50d28ab28e504525c25d2f7c26757f21f19af33dd6,True,False
docs/experiments/casea/results/casea_smoke_regression.json,json_manifest_or_gate,536,b63ae6c7a4dfe91549b53494bcf4edd31e993c0099047bab45e1edf4ce6e76bf,b63ae6c7a4dfe91549b53494bcf4edd31e993c0099047bab45e1edf4ce6e76bf,True,True
docs/experiments/casea/results/casea_vtk_manifest.csv,csv_table,481,f17c8707a9db96cd89cc8c86e2eb57a7ae65e82a66713770ec655626491a897c,f17c8707a9db96cd89cc8c86e2eb57a7ae65e82a66713770ec655626491a897c,True,True
docs/experiments/casee/casee_preset.json,json_manifest_or_gate,1424,f198694894fc5acb80b97b36c690f238ed43f83b29b2447dfb5f5338ff6cabd4,f198694894fc5acb80b97b36c690f238ed43f83b29b2447dfb5f5338ff6cabd4,True,True
docs/experiments/casee/casee_protocol.md,markdown_report_or_protocol,2343,f5868f1fb8651acdd60e43b96c6cc7bb7313203cef85fc472ce57f083e0396f2,f5868f1fb8651acdd60e43b96c6cc7bb7313203cef85fc472ce57f083e0396f2,True,True
docs/experiments/casee/data_manifest.csv,csv_table,2053,c868bd407b214ad6d4518f8e0c26b9205282c59e065021511c19a4b244d144a0,c868bd407b214ad6d4518f8e0c26b9205282c59e065021511c19a4b244d144a0,True,True
docs/experiments/casee/evidence_inventory.csv,csv_table,37366,f7606126f3a2cc20e9d99f8ec3a5b6a312679ddcf32346d00cb27aaf82a657a6,f7606126f3a2cc20e9d99f8ec3a5b6a312679ddcf32346d00cb27aaf82a657a6,True,True
